Chart Recorder Data File Fri, Oct 23, 2015 10:26 AM
Time (s)	CH1 (V)  
10:25:52.544	0.001812
10:25:52.644	0.001812
10:25:52.744	0.001812
10:25:52.844	0.001812
10:25:52.944	0.001493
10:25:53.044	0.001173
10:25:53.144	0.001493
10:25:53.244	0.001173
10:25:53.344	0.001812
10:25:53.444	0.002131
10:25:53.544	0.002450
10:25:53.644	0.001812
10:25:53.744	0.001812
10:25:53.844	0.002131
10:25:53.944	0.001812
10:25:54.044	0.001812
10:25:54.144	0.001173
10:25:54.244	0.002131
10:25:54.344	0.002131
10:25:54.444	0.001173
10:25:54.544	0.001812
10:25:54.644	0.002131
10:25:54.744	0.001173
10:25:54.844	0.001493
10:25:54.944	0.001812
10:25:55.044	0.000854
10:25:55.144	0.002131
10:25:55.244	0.001812
10:25:55.344	0.001812
10:25:55.444	0.001812
10:25:55.544	0.001812
10:25:55.644	0.001173
10:25:55.744	0.001493
10:25:55.844	0.001493
10:25:55.944	0.002131
10:25:56.044	0.001493
10:25:56.144	0.001493
10:25:56.244	0.001812
10:25:56.344	0.001173
10:25:56.444	0.001812
10:25:56.544	0.001493
10:25:56.644	0.002131
10:25:56.744	0.001812
10:25:56.844	0.001493
10:25:56.944	0.002450
10:25:57.044	0.002131
10:25:57.144	0.001812
10:25:57.244	0.002131
10:25:57.344	0.002131
10:25:57.444	0.001173
10:25:57.544	0.001493
10:25:57.644	0.002131
10:25:57.744	0.001812
10:25:57.844	0.001812
10:25:57.944	0.002450
10:25:58.044	0.001493
10:25:58.144	0.001493
10:25:58.244	0.002131
10:25:58.344	0.001812
10:25:58.444	0.001173
10:25:58.544	0.002131
10:25:58.644	0.001493
10:25:58.744	0.001493
10:25:58.844	0.001493
10:25:58.944	0.001173
10:25:59.044	0.001173
10:25:59.144	0.000854
10:25:59.244	0.001812
10:25:59.344	0.001812
10:25:59.444	0.001493
10:25:59.544	0.001493
10:25:59.644	0.001812
10:25:59.744	0.001812
10:25:59.844	0.002450
10:25:59.944	0.002131
10:26:00.044	0.001812
10:26:00.144	0.001812
10:26:00.244	0.001812
10:26:00.344	0.002131
10:26:00.444	0.001493
10:26:00.544	0.001493
10:26:00.644	0.001173
10:26:00.744	0.001173
10:26:00.844	0.001812
10:26:00.944	0.001493
10:26:01.044	0.001812
10:26:01.144	0.001493
10:26:01.244	0.001812
10:26:01.344	0.002131
10:26:01.444	0.002131
10:26:01.544	0.002131
10:26:01.644	0.001812
10:26:01.744	0.001493
10:26:01.844	0.001812
10:26:01.944	0.001493
10:26:02.044	0.001812
10:26:02.144	0.001173
10:26:02.244	0.002450
10:26:02.344	0.001812
10:26:02.444	0.001812
10:26:02.544	0.001812
10:26:02.644	0.002450
10:26:02.744	0.001493
10:26:02.844	0.002131
10:26:02.944	0.000854
10:26:03.044	0.002131
10:26:03.144	0.001812
10:26:03.244	0.001173
10:26:03.344	0.001173
10:26:03.444	0.001493
10:26:03.544	0.000854
10:26:03.644	0.001493
10:26:03.744	0.001493
10:26:03.844	0.002769
10:26:03.944	0.001493
