Neel Temperature Data File
Tuesday, November 17, 2015 - 2:29 PM

Time (S)	Wheatstone (mV)	Temp (mV)
2917.39	1.101	1.028
2917.95	1.102	1.017
2918.50	1.100	1.025
2919.06	1.099	1.025
2919.61	1.100	1.025
2920.16	1.099	1.025
2920.72	1.099	1.028
2921.28	1.099	1.034
2921.83	1.097	1.023
2922.39	1.099	1.020
2922.95	1.095	1.025
2923.51	1.095	1.017
2924.07	1.094	1.037
2924.63	1.093	1.023
2925.19	1.094	1.023
2925.75	1.093	1.025
2926.31	1.093	1.023
2926.87	1.092	1.034
2927.43	1.092	1.023
2927.98	1.091	1.025
2928.54	1.091	1.031
2929.10	1.092	1.020
2929.66	1.091	1.028
2930.22	1.091	1.023
2930.78	1.088	1.028
2931.31	1.087	1.019
2931.87	1.086	1.020
2932.43	1.086	1.017
2932.99	1.087	1.023
2933.55	1.086	1.023
2934.11	1.084	1.025
2934.67	1.083	1.020
2935.23	1.083	1.031
2935.79	1.083	1.023
2936.35	1.083	1.017
2936.91	1.082	1.025
2937.48	1.080	1.025
2938.04	1.080	1.025
2938.60	1.079	1.020
2939.15	1.079	1.023
2939.71	1.080	1.025
2940.27	1.078	1.023
2940.83	1.077	1.025
2941.39	1.076	1.023
2941.95	1.078	1.017
2942.51	1.075	1.014
2943.06	1.075	1.019
2943.59	1.076	1.022
2944.15	1.075	1.017
2944.71	1.076	1.023
2945.27	1.073	1.025
2945.83	1.076	1.020
2946.39	1.075	1.025
2946.95	1.074	1.008
2947.51	1.074	1.017
2948.07	1.073	1.025
2948.61	1.073	1.025
2949.16	1.073	1.023
2949.72	1.073	1.023
2950.28	1.072	1.020
