8.14	1.291	0.738
8.68	1.317	0.738
9.22	1.291	0.747
9.76	1.294	0.732
10.31	1.316	0.738
10.85	1.284	0.753
11.40	1.299	0.747
11.94	1.312	0.747
12.48	1.282	0.744
13.03	1.310	0.735
13.57	1.307	0.735
14.12	1.285	0.738
14.66	1.315	0.750
15.20	1.301	0.741
15.75	1.287	0.741
16.30	1.285	0.758
16.85	1.291	0.796
17.40	1.304	0.732
17.96	1.316	0.738
18.51	1.322	0.732
19.06	1.319	0.747
19.61	1.307	0.744
20.17	1.286	0.750
20.72	1.279	0.761
21.27	1.282	0.741
21.82	1.293	0.741
22.37	1.305	0.750
22.93	1.316	0.753
23.48	1.315	0.750
24.03	1.305	0.750
24.58	1.295	0.753
25.13	1.282	0.741
25.68	1.281	0.744
26.24	1.287	0.741
26.79	1.299	0.758
27.34	1.311	0.753
27.89	1.316	0.764
28.44	1.311	0.767
29.00	1.298	0.761
29.55	1.288	0.770
30.10	1.280	0.776
30.65	1.281	0.770
31.20	1.293	0.764
31.76	1.305	0.773
32.31	1.312	0.767
32.86	1.314	0.761
33.41	1.303	0.753
33.96	1.291	0.767
34.52	1.280	0.761
35.07	1.278	0.767
35.62	1.285	0.778
36.17	1.297	0.773
36.73	1.309	0.767
37.28	1.313	0.770
37.83	1.306	0.767
38.38	1.295	0.776
38.93	1.283	0.767
39.49	1.276	0.773
40.04	1.281	0.758
40.59	1.292	0.767
41.14	1.301	0.764
41.69	1.310	0.761
42.24	1.307	0.773
42.80	1.297	0.761
43.35	1.286	0.764
43.90	1.279	0.753
44.45	1.281	0.764
45.00	1.293	0.773
45.56	1.306	0.755
46.11	1.313	0.764
46.66	1.310	0.761
47.21	1.299	0.758
47.76	1.289	0.764
48.32	1.281	0.758
48.87	1.280	0.773
49.42	1.288	0.744
49.97	1.301	0.750
50.52	1.311	0.764
51.08	1.310	0.755
51.63	1.298	0.761
52.18	1.283	0.761
52.73	1.277	0.761
53.29	1.278	0.767
53.84	1.287	0.761
54.39	1.300	0.750
54.94	1.310	0.755
55.49	1.310	0.755
56.05	1.298	0.758
56.60	1.285	0.755
57.15	1.276	0.758
57.70	1.279	0.764
58.25	1.287	0.753
58.81	1.299	0.767
59.36	1.310	0.750
59.91	1.309	0.750
60.46	1.301	0.764
61.01	1.290	0.764
61.56	1.279	0.750
62.12	1.279	0.758
62.67	1.288	0.767
63.22	1.303	0.761
63.77	1.311	0.753
64.32	1.310	0.747
64.88	1.298	0.747
65.43	1.284	0.738
65.98	1.274	0.741
66.53	1.275	0.750
67.08	1.285	0.750
67.64	1.299	0.744
68.19	1.306	0.744
68.74	1.305	0.755
69.29	1.295	0.755
69.84	1.285	0.755
70.40	1.276	0.750
70.95	1.278	0.738
71.50	1.287	0.744
72.05	1.299	0.753
72.61	1.308	0.764
73.16	1.306	0.761
73.71	1.292	0.761
74.26	1.280	0.755
74.81	1.274	0.753
75.37	1.275	0.758
75.92	1.286	0.753
76.47	1.299	0.761
77.02	1.307	0.753
77.57	1.303	0.750
78.12	1.290	0.764
78.68	1.277	0.758
79.23	1.272	0.753
79.78	1.275	0.747
80.33	1.287	0.753
80.88	1.299	0.744
81.44	1.307	0.750
81.99	1.299	0.744
82.54	1.286	0.758
83.09	1.274	0.761
83.64	1.271	0.753
84.20	1.278	0.753
84.75	1.288	0.767
85.30	1.301	0.761
85.85	1.303	0.747
86.40	1.297	0.758
86.96	1.284	0.744
87.51	1.274	0.750
88.06	1.270	0.755
88.61	1.276	0.758
89.17	1.289	0.758
89.72	1.299	0.750
90.27	1.303	0.741
90.82	1.294	0.741
91.37	1.280	0.764
91.93	1.271	0.747
92.48	1.269	0.750
93.03	1.275	0.770
93.58	1.287	0.761
94.13	1.299	0.764
94.68	1.300	0.753
95.24	1.294	0.767
95.79	1.281	0.750
96.34	1.277	0.755
96.89	1.274	0.753
97.44	1.278	0.747
98.00	1.291	0.758
98.55	1.302	0.753
99.10	1.305	0.750
99.65	1.299	0.761
100.20	1.287	0.747
100.76	1.275	0.744
101.31	1.270	0.750
101.86	1.275	0.753
102.41	1.285	0.755
102.96	1.298	0.761
103.52	1.303	0.761
104.07	1.300	0.755
104.62	1.288	0.767
105.17	1.278	0.755
105.73	1.274	0.744
106.28	1.273	0.747
106.83	1.284	0.747
107.38	1.295	0.747
107.93	1.303	0.770
108.49	1.300	0.773
109.04	1.289	0.758
109.59	1.279	0.761
110.14	1.271	0.767
110.69	1.272	0.755
111.24	1.280	0.755
111.80	1.291	0.755
