2.01	1.331	0.659
4.07	1.331	0.643
6.12	1.330	0.652
8.17	1.330	0.652
10.22	1.330	0.648
12.27	1.329	0.655
14.32	1.329	0.652
16.36	1.328	0.652
18.41	1.328	0.651
20.45	1.329	0.651
22.49	1.329	0.655
24.53	1.330	0.650
26.57	1.331	0.655
28.62	1.330	0.655
30.67	1.329	0.645
32.73	1.329	0.647
34.77	1.329	0.643
36.82	1.328	0.650
38.88	1.329	0.651
40.93	1.329	0.648
42.99	1.329	0.645
45.05	1.329	0.645
47.10	1.331	0.650
49.13	1.330	0.646
51.19	1.330	0.652
53.25	1.330	0.647
55.30	1.328	0.655
57.36	1.328	0.655
59.41	1.328	0.649
61.47	1.327	0.648
63.53	1.327	0.655
65.58	1.326	0.650
67.61	1.326	0.655
69.67	1.326	0.653
71.73	1.327	0.653
73.78	1.328	0.651
75.84	1.328	0.648
77.89	1.328	0.650
79.95	1.327	0.646
82.01	1.326	0.648
84.06	1.326	0.648
86.12	1.325	0.647
88.15	1.324	0.659
90.21	1.324	0.651
92.26	1.324	0.652
94.32	1.324	0.648
96.35	1.326	0.648
98.41	1.326	0.645
100.46	1.327	0.653
102.52	1.327	0.646
104.57	1.327	0.649
106.63	1.327	0.648
108.69	1.327	0.647
110.74	1.325	0.652
112.80	1.325	0.650
114.85	1.325	0.648
116.91	1.325	0.651
118.97	1.324	0.645
121.02	1.326	0.644
123.08	1.326	0.641
125.13	1.326	0.647
127.19	1.328	0.645
129.25	1.327	0.655
131.30	1.326	0.647
133.36	1.326	0.651
135.39	1.325	0.649
137.45	1.325	0.652
139.50	1.325	0.646
141.56	1.325	0.652
143.61	1.324	0.650
145.67	1.324	0.654
147.73	1.326	0.648
149.78	1.326	0.652
151.84	1.326	0.648
153.89	1.327	0.649
155.94	1.326	0.649
157.97	1.324	0.655
160.03	1.324	0.654
162.09	1.325	0.650
164.14	1.324	0.650
166.20	1.325	0.655
168.25	1.324	0.652
170.31	1.324	0.654
172.37	1.324	0.654
174.43	1.325	0.652
176.47	1.325	0.656
178.53	1.326	0.658
180.57	1.325	0.653
182.63	1.324	0.653
184.69	1.325	0.654
186.74	1.323	0.648
188.80	1.323	0.658
190.85	1.321	0.659
192.91	1.322	0.658
194.97	1.322	0.652
197.00	1.322	0.651
199.05	1.322	0.654
201.11	1.323	0.661
203.17	1.323	0.662
205.22	1.322	0.659
207.28	1.321	0.665
209.33	1.321	0.659
211.39	1.319	0.658
213.42	1.319	0.662
215.48	1.319	0.658
217.53	1.319	0.655
219.59	1.319	0.656
221.65	1.318	0.664
223.70	1.317	0.667
225.73	1.319	0.663
227.79	1.319	0.661
229.85	1.317	0.665
231.90	1.318	0.655
233.96	1.317	0.659
236.01	1.317	0.662
238.07	1.317	0.656
240.13	1.316	0.664
242.18	1.315	0.662
244.24	1.314	0.666
246.29	1.315	0.663
248.35	1.313	0.668
250.41	1.314	0.667
252.46	1.316	0.664
254.52	1.317	0.668
256.57	1.316	0.661
258.63	1.318	0.662
260.69	1.316	0.668
262.73	1.316	0.667
264.77	1.316	0.667
266.84	1.315	0.675
268.87	1.314	0.670
270.91	1.314	0.672
272.97	1.314	0.664
275.02	1.316	0.672
277.08	1.318	0.677
279.13	1.319	0.675
281.19	1.318	0.677
283.22	1.318	0.679
285.28	1.317	0.677
287.33	1.318	0.677
289.38	1.317	0.678
291.44	1.317	0.680
293.49	1.316	0.671
295.55	1.316	0.679
297.59	1.316	0.683
299.65	1.317	0.679
301.70	1.319	0.682
303.76	1.320	0.682
305.81	1.322	0.683
307.87	1.322	0.685
309.93	1.322	0.681
311.98	1.322	0.682
314.04	1.321	0.683
316.09	1.320	0.685
318.13	1.318	0.684
320.18	1.319	0.683
322.24	1.320	0.681
324.29	1.321	0.688
326.35	1.321	0.685
328.41	1.321	0.686
330.46	1.320	0.690
332.52	1.320	0.684
334.57	1.319	0.690
336.63	1.317	0.687
338.69	1.316	0.690
340.74	1.318	0.690
342.80	1.319	0.686
344.85	1.319	0.693
346.91	1.319	0.687
348.95	1.318	0.687
351.01	1.318	0.689
353.05	1.317	0.692
355.10	1.316	0.690
357.16	1.316	0.697
359.21	1.318	0.699
359.99	1.319	0.698
360.54	1.316	0.692
361.61	1.316	0.692
362.64	1.317	0.702
363.67	1.316	0.705
364.70	1.316	0.703
365.73	1.317	0.697
366.77	1.318	0.700
367.80	1.318	0.696
368.83	1.316	0.693
369.86	1.315	0.705
370.89	1.315	0.713
371.93	1.315	0.694
372.96	1.315	0.696
373.99	1.313	0.710
375.02	1.314	0.706
376.09	1.315	0.703
377.12	1.315	0.700
378.15	1.316	0.690
379.18	1.316	0.700
380.21	1.317	0.710
381.25	1.319	0.703
382.28	1.317	0.703
383.31	1.315	0.717
384.34	1.316	0.708
385.37	1.315	0.705
386.41	1.316	0.713
387.44	1.315	0.713
388.47	1.316	0.710
389.50	1.314	0.708
390.53	1.314	0.711
391.57	1.313	0.708
392.60	1.313	0.717
393.66	1.313	0.718
394.69	1.312	0.720
395.73	1.311	0.717
396.76	1.313	0.720
397.79	1.311	0.726
398.82	1.312	0.714
399.85	1.315	0.722
400.89	1.315	0.720
401.93	1.314	0.717
402.96	1.315	0.710
403.99	1.315	0.726
405.02	1.315	0.726
406.05	1.313	0.723
407.09	1.315	0.729
408.12	1.315	0.723
409.15	1.313	0.725
410.18	1.312	0.723
411.25	1.313	0.727
412.29	1.312	0.728
413.33	1.312	0.731
414.37	1.311	0.725
415.41	1.312	0.732
416.44	1.312	0.728
417.47	1.312	0.729
418.50	1.313	0.728
419.53	1.313	0.732
420.57	1.314	0.723
421.60	1.313	0.726
422.63	1.313	0.726
423.67	1.313	0.731
424.70	1.312	0.732
425.77	1.311	0.731
426.80	1.312	0.735
427.83	1.311	0.735
428.86	1.312	0.729
429.89	1.312	0.732
430.93	1.312	0.732
431.96	1.310	0.731
432.99	1.311	0.731
434.02	1.311	0.737
435.06	1.312	0.732
436.09	1.312	0.726
437.13	1.311	0.739
438.16	1.313	0.735
439.19	1.314	0.735
440.22	1.315	0.735
441.26	1.313	0.732
442.29	1.312	0.739
443.32	1.314	0.734
444.35	1.314	0.734
445.38	1.313	0.739
446.45	1.312	0.734
447.48	1.312	0.732
448.51	1.312	0.734
449.54	1.312	0.739
450.57	1.312	0.734
451.61	1.311	0.731
452.64	1.312	0.740
453.67	1.314	0.732
454.70	1.313	0.739
455.73	1.313	0.743
456.77	1.314	0.742
457.80	1.314	0.734
458.83	1.313	0.745
459.86	1.316	0.732
460.89	1.314	0.740
461.93	1.314	0.734
462.96	1.316	0.745
463.99	1.314	0.739
465.05	1.314	0.743
466.09	1.314	0.742
467.12	1.315	0.743
468.15	1.314	0.746
469.18	1.313	0.748
470.21	1.313	0.749
471.25	1.311	0.740
472.31	1.313	0.742
473.34	1.314	0.755
474.37	1.311	0.742
475.42	1.312	0.754
476.45	1.314	0.758
477.49	1.313	0.758
478.53	1.313	0.752
479.57	1.317	0.762
480.61	1.317	0.742
481.65	1.315	0.754
482.76	1.315	0.766
483.80	1.316	0.768
484.84	1.318	0.761
485.88	1.314	0.775
486.91	1.314	0.758
487.94	1.313	0.769
488.97	1.314	0.761
490.01	1.315	0.764
491.04	1.313	0.769
492.07	1.313	0.772
493.10	1.313	0.775
494.13	1.314	0.774
495.17	1.314	0.774
496.20	1.315	0.777
497.23	1.315	0.780
498.29	1.315	0.778
499.33	1.315	0.780
500.36	1.313	0.775
501.39	1.315	0.778
502.42	1.314	0.771
503.45	1.313	0.778
504.49	1.315	0.780
505.52	1.313	0.790
506.55	1.314	0.775
507.58	1.314	0.771
508.61	1.313	0.783
509.65	1.313	0.784
510.68	1.311	0.781
511.71	1.314	0.786
512.74	1.314	0.775
513.77	1.313	0.778
514.81	1.313	0.778
515.87	1.316	0.778
516.93	1.314	0.780
517.97	1.314	0.783
519.00	1.315	0.787
520.04	1.316	0.784
521.07	1.314	0.786
522.10	1.314	0.783
523.13	1.313	0.784
524.17	1.313	0.786
525.20	1.313	0.783
526.23	1.314	0.784
527.26	1.313	0.789
528.29	1.312	0.789
529.33	1.311	0.798
530.36	1.312	0.789
531.39	1.313	0.781
532.42	1.311	0.789
533.49	1.312	0.784
534.52	1.314	0.784
535.55	1.313	0.786
536.58	1.312	0.786
537.61	1.312	0.787
538.65	1.314	0.786
539.68	1.312	0.789
540.71	1.312	0.792
541.74	1.310	0.797
542.77	1.311	0.790
543.81	1.310	0.800
544.84	1.310	0.801
545.87	1.309	0.789
546.90	1.311	0.795
547.93	1.308	0.798
548.97	1.311	0.804
550.00	1.310	0.800
551.06	1.311	0.798
552.09	1.311	0.800
