4.34	1.294	1.074
4.89	1.329	1.040
5.45	1.331	1.045
6.00	1.343	1.031
6.55	1.351	1.040
7.10	1.352	1.057
7.65	1.334	1.054
8.19	1.340	1.048
8.73	1.362	1.051
9.28	1.331	1.031
9.82	1.344	1.048
10.37	1.350	1.045
10.91	1.330	1.045
11.53	1.350	1.043
12.07	1.357	1.043
12.61	1.335	1.045
13.16	1.336	1.057
13.71	1.330	1.037
14.26	1.328	1.048
14.81	1.332	1.048
15.36	1.348	1.045
15.92	1.359	1.045
16.47	1.360	1.054
17.02	1.352	1.051
17.57	1.341	1.037
18.13	1.331	1.048
18.68	1.329	1.028
19.24	1.347	1.043
19.79	1.346	1.043
20.34	1.335	1.040
20.89	1.330	1.045
21.45	1.330	1.045
22.00	1.336	1.048
22.55	1.345	1.043
23.10	1.355	1.040
23.65	1.356	1.045
24.21	1.348	1.045
24.76	1.337	1.031
25.31	1.325	1.040
25.86	1.324	1.054
26.41	1.327	1.045
26.97	1.337	1.034
27.52	1.346	1.043
28.07	1.353	1.034
28.62	1.358	1.051
29.17	1.344	1.037
29.72	1.332	1.040
30.28	1.324	1.031
30.83	1.327	1.040
31.38	1.332	1.043
31.93	1.342	1.048
32.48	1.352	1.054
33.04	1.357	1.048
33.59	1.349	1.045
34.14	1.336	1.043
34.69	1.326	1.048
35.25	1.326	1.043
35.80	1.334	1.043
36.35	1.340	1.037
36.90	1.353	1.043
37.45	1.359	1.043
38.01	1.356	1.045
38.56	1.344	1.037
39.11	1.337	1.043
39.66	1.324	1.048
40.21	1.335	1.043
40.77	1.344	1.048
41.32	1.354	1.040
41.87	1.359	1.040
42.42	1.356	1.037
42.97	1.345	1.037
43.53	1.330	1.045
44.08	1.331	1.040
44.63	1.334	1.045
45.18	1.343	1.040
45.73	1.355	1.043
46.28	1.362	1.028
46.84	1.358	1.045
47.39	1.345	1.045
47.94	1.334	1.048
48.49	1.328	1.034
49.04	1.330	1.037
49.60	1.342	1.043
50.15	1.353	1.048
50.70	1.359	1.043
51.25	1.356	1.045
51.80	1.349	1.037
52.36	1.339	1.031
52.91	1.331	1.037
53.46	1.328	1.037
54.01	1.335	1.054
54.57	1.346	1.057
55.12	1.359	1.040
55.67	1.354	1.045
56.22	1.348	1.034
56.77	1.336	1.045
57.33	1.327	1.040
57.88	1.326	1.045
58.43	1.331	1.040
58.98	1.341	1.034
59.53	1.351	1.043
60.09	1.356	1.037
60.64	1.349	1.043
61.19	1.338	1.043
61.74	1.327	1.043
62.29	1.323	1.040
62.85	1.331	1.043
63.40	1.339	1.034
63.95	1.350	1.043
64.50	1.355	1.028
65.05	1.355	1.031
65.60	1.346	1.045
66.16	1.334	1.037
66.71	1.326	1.037
67.26	1.330	1.037
67.81	1.344	1.054
68.36	1.353	1.034
68.92	1.360	1.034
69.47	1.356	1.040
70.02	1.342	1.043
70.57	1.330	1.043
71.13	1.326	1.034
71.68	1.329	1.045
72.23	1.343	1.031
72.78	1.353	1.037
73.33	1.356	1.028
73.89	1.354	1.037
74.44	1.346	1.037
74.99	1.333	1.040
75.54	1.325	1.051
76.09	1.328	1.045
76.65	1.342	1.043
77.20	1.354	1.040
77.75	1.356	1.040
78.30	1.353	1.034
78.85	1.344	1.040
79.41	1.331	1.031
79.96	1.323	1.040
80.51	1.328	1.040
81.06	1.343	1.045
81.61	1.353	1.043
82.16	1.356	1.040
82.72	1.351	1.040
83.27	1.342	1.045
83.82	1.329	1.048
84.37	1.324	1.037
84.92	1.330	1.037
85.48	1.345	1.043
86.03	1.355	1.037
86.58	1.357	1.040
87.13	1.351	1.037
87.69	1.343	1.048
88.24	1.334	1.034
88.79	1.328	1.037
89.34	1.331	1.040
89.89	1.346	1.043
90.45	1.355	1.034
91.00	1.363	1.043
91.55	1.357	1.048
92.10	1.344	1.037
92.65	1.332	1.051
93.21	1.322	1.031
93.76	1.330	1.045
94.31	1.340	1.040
94.86	1.351	1.043
95.41	1.357	1.043
95.97	1.353	1.040
96.52	1.342	1.028
97.07	1.333	1.034
97.62	1.328	1.034
98.17	1.329	1.040
98.72	1.339	1.043
99.28	1.348	1.040
99.83	1.357	1.034
100.38	1.355	1.025
100.93	1.343	1.043
101.48	1.334	1.040
102.04	1.324	1.043
102.59	1.327	1.028
103.14	1.336	1.034
103.69	1.346	1.040
104.24	1.354	1.045
104.80	1.354	1.031
105.35	1.343	1.045
105.90	1.333	1.037
106.45	1.324	1.028
107.01	1.322	1.043
107.56	1.336	1.048
108.11	1.344	1.043
108.66	1.353	1.043
109.21	1.355	1.043
109.77	1.344	1.037
110.32	1.332	1.043
110.87	1.322	1.034
111.42	1.322	1.045
111.97	1.328	1.040
112.53	1.346	1.054
113.08	1.355	1.028
113.63	1.355	1.031
114.18	1.347	1.043
114.73	1.337	1.034
115.29	1.329	1.040
115.84	1.327	1.031
116.39	1.333	1.031
116.94	1.342	1.031
117.49	1.353	1.031
118.04	1.352	1.040
118.60	1.342	1.043
119.15	1.334	1.037
119.70	1.326	1.043
120.25	1.324	1.045
120.80	1.331	1.037
121.36	1.340	1.048
121.91	1.357	1.048
122.46	1.361	1.037
123.01	1.351	1.037
123.57	1.340	1.034
